North America,46483,48374,50110,51703,53053,54619,55477,56340,58434,61117
OECD members,34563,35986,38493,38203,38463,39020,36624,37086,38424,40410
Other small states,11008,12502,15088,15493,15713,15837,12846,12433,13455,14705
Pacific island small states,2653,2906,3404,3572,3659,3925,3782,3900,4133,4225
Post-demographic dividend,38061,39514,42315,42090,42320,42990,40498,41203,42741,45126
Pre-demographic dividend,1209,1389,1574,1690,1799,1864,1588,1421,1473,1437
Small states,9956,11220,13313,13689,13897,14031,11742,11344,12165,13214
South Asia,1042,1257,1367,1364,1382,1494,1542,1649,1867,1903
South Asia (IDA & IBRD),1042,1257,1367,1364,1382,1494,1542,1649,1867,1903
Sub-Saharan Africa,1361,1578,1739,1788,1853,1889,1671,1522,1610,1586
Sub-Saharan Africa (excluding high income),1360,1577,1738,1787,1852,1888,1670,1521,1609,1584
Sub-Saharan Africa (IDA & IBRD countries),1361,1578,1739,1788,1853,1889,1671,1522,1610,1586
Upper middle income,5271,6344,7533,8010,8449,8652,8036,7927,8670,9205
World,8820,9541,10479,10595,10771,10934,10224,10256,10778,11312
